title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
A Thousand Nights,E. K. Johnston,,,,,,,,,,,,,,,,,,,,,H,,,,
A Voyage to Arcturus,David Lindsey,,,,,,H,,,,,,,,,,,,,,,,,,,
A Witness to Life,Terence M. Green,,,,,,,,,,,,,,,,,,,,,H,,,,
A Wizard of Earthsea,Ursula K. Le Guin,,,,,,,,X,,,,,,,,,,,,,,,H,,
A Wizard's Guide to Defensive Baking,T. Kingfisher,,,,,,H,,,,X,,,,,,,,,,,,,,,
A Woman of the Iron People,Eleanor Arnason,,H,,,,,,X,,,,,,,,,,,,,,,,,
Aavarna,SL Bhyrappa,,,,H,,,,,,,,,,,,,,,,,,,,,
Abarat,Clive Barker,,,,,,,,,,,,,,,,,X,,,,,,,,
"Abarat: Days of Magic, Nights of War",Clive Barker,,H,,,,,,,,,,,,,,,,,,,H,,,,
Accelerando,Charles Stross,,,,,,X,,,,,,,,,,,,,,,,,,,
Accessing the Future,Kathryn Allan and Djibril al-Ayad,,,H,,,,,,,,,,,,,,,H,,,,,,,
Aching God,Mike Shel,,,,,,,,,H,,,,,,,,,,,,,,,,
Acorna,Anne McCaffrey,,,X,,,,,,,,X,,,,,,,,,,,,,,
Acorna,Anne McCaffrey and Elizabeth Ann Scarbarough,,,X,,,,,,,,X,,,,,,,,,,,,,,
Acorna,Anne McCaffrey and Margaret Ball,,,X,,,,,,,,X,,,,,,,,,,,,,,
Across the Spectrum,Pati Nagle,,,,,,,,,,,,,,,,,,H,,,,,,,
Across the Universe,Beth Revis,,,,,X,,,,,,,,,,,,,,,,,,,,
Across the Void,S.K. Vaughn,,,,,X,,,,,,,,,,,,,,,,,,,,
Ægypt,John Crowley,,,,,,,,,,,,,,,,,,,,,H,,,,
After the Dragons,Cynthia Zhang,,,,,,H,,,,,,,,,,,,,,,,,,,H
Afterparty,Daryl Gregory,,,,,,,,,,,,,,,,,,,,,H,,,,
Afterworld,James G. Robertson,,,,,,,,,,X,,,,,,,X,,,,,H,,,
Against a Dark Background,Iain M. Banks,,,,,,,,,X,,,,,,,,,,,,,,,,
Against the Grain,Melanie Harding Shaw,,,,,,H,,,,,,,,X,,,,,,H,,,,,
Against the Grain,Melanie Harding-Shaw,,,,,,H,,,,,,,,X,,,,,,H,,,,,
Age of Ash,Daniel Abraham,,,,,,,,,,,,,X,,,,,,,,,,,,
Age of Assassins,RJ Barker,,,,,,,,,,,,,,,,,,,,,H,,,,
Age of Fire,E.E. Knight,,,,,,,,,,,,,,,,H,,,,,,,,,
Akata Witch,Nnedi Okorafor,,,,,,,,X,,,,,,,H,,,,,,,,,,
Alanna: The First Adventure,Tamora Pierce,,,,,,,,X,,,X,,,,,,,,,,,,,,
Alcatraz series,Brandon Sanderson,,,,,,,,,,,X,,,,,,,,,,,,,,
Alex Verus,Benedict Jacka,,,,,,,,,,,,,,X,,,X,,,,,,,,
Alice's Adventures in Wonderland,Lewis Carroll,,,,,,,,,,,X,,,,,,,,,,,,,H,
Alien Virus Love Disaster,Abbey Mei Otis,,,,,,,,,,,,,,,,,,,,,,,,H,
Alif the Unseen,G. Willow Wilson,,,,,,X,,X,,,X,,,,,,,,,,,,,,
All Good Children,Dayna Ingram,,,,,,,,,,,,,,,,,,,,,H,,,,
All Our Pretty Songs,Sarah McCarry,,,,,,,,,,,,,,,,,,,,,H,,,,
All Systems Red,Martha Wells,,,,,,,,X,,,,,,,,,,,,,,,,H,
All that Outer Space Allows,Ian Sales,,,,,,,,,,,,,,,,,,,,,H,,,,
All That's Left in the World,Erik J. Brown,,,,,,,,,,,,,X,,,,,,,,,,,,
All the Bells on Earth,James Blaylock,,,,,,,,,,,,,,,,,,,,,H,,,,
All the Crooked Saints,Maggie Stiefvater,,,,,,H,,,,,,,,,,,,,,,,,,,
All the Murmuring Bones,A.G. Slatter,,,,,,H,,,,,,X,,,,,,,,,,,,,
All the Stars and Teeth,Adalyn Grace,,,,,,,,X,H,,,,,,,,,,,,,,,,
All Those Explosions Were Someone Else's Fault,James Alan Gardner,H,,,,,,,,,,,,,,,,,,,,,,,H,
Allanon's Quest,Terry Brooks,,,,,,,,,,,X,,,,,,,,,,,,,,
Along the Razor's Edge,Rob J. Hayes,,,,,,,,X,,,,,,,,,,,,,,,,,
Alpennia,Heather Rose Jones,H,,,,,,,,,,,,,,,,,,,,,,,,
Alpha and Omega,Patricia Briggs,,,,,,,,,,,,,,X,,,,,,,,,,,
Alphabet of Thorn,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,H,,,,
Altered Carbon,Richard K. Morgan,,,,,,,,X,,,,,,,,,,,,,,,,,
Alternate Casts,Marsh Cassady,,,,,,,,,,,,,,,,,,,,,H,,,,
Always Coming Home,Ursula K. Le Guin,,,,,,,,,,,,,,,,,,,,,H,,,H,
Amari and the Night Brothers,B.B. Alston,,,,,,,,,,,,,,,,,,,,,,X,,,
Amatka,Karin Tidbeck,H,H,,,,,,,,,,,,,,,,,H,,,,,,
Amazon Story Bones,Ellen Frye,,,,,,,,,,,,,,,,,,,,,H,,,,
Amberlough,Lara Elena Donnelly,,,,H,,,X,X,,X,,,,,,,,,,,,,,,
American Gods,Neil Gaiman,,,,,,X,,,,,,,,,,,,,,,,,,,
American Goliath,Harvey Jacobs,,,,,,,,,,,,,,,,,,,,,H,,,,
American Hippo,Sarah Gailey,H,,,,,,,,,,,,,,,,,,,,,,,,
Ammonite,Nicola Griffith,H,H,,,,,,,,,,,,,,,,,,,,,,,
Among Others,Jo Walton,,,,,,H,,,,,,,,,,,,,,,,,,,X
An Alchemy of Masques and Mirrors,Curtis Craddock,,H,,,,,,X,,,,,,,,,,,,,,,,,
An Ember in the Ashes,Sabaa Tabir,,,,,,,,X,,,,,,,,,,,,,,,,,
An Enchantment of Ravens,Margaret Rogerson,,,,,,,,X,,,,,,,,,,,,,,,,,
An Evil Guest,Gene Wolfe,,,,,,,,,,,,,,,,,,,,,H,,,,
An Excess Male,Maggie Shen King,,,,,,,,,,,,,,,,,,,,,H,,,,
An Unkindness of Ghosts,Rivers Solomon,H,,,,H,X,,X,,H,,,,,,,,,H,,H,X,,,
Anathem,Neal Stephenson,,,,,,X,,,,,,,,,,,,,,,,,,,
Ancestral Night,Elizabeth Bear,H,,,,H,,,,,,,,,,,,,,,,,,,,
Ancillary Justice,Ann Leckie,,,,,,,,,,H,,,,,,,,,,,,,,X,
Ancillary Mercy,Ann Leckie,,,,,H,,,,,,,,,,,,,,,,,,,,
