title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Children of Blood and Bone,Tomi Adeyemi,,,,,,,,X,,,,,,,H,,,,,,,X,,,
Children of Earth and Sky,Guy Gavriel Kay,,,,H,,,,,,,,,,,,,,,,,,,,,
Children of Hurin,J.R.R. Tolkien,,,,,,,,,H,,,,,,,,,,,,,,,,
Children of the Black Sun,Jo Spurrier,H,,,,,,,,,,,,,,,,,,,,,,,,
Children of the Dead City,Noor Al-Shanti,,,,,,,,,,H,,,,,,,,,,X,,,,,
Children of Time,Adrian Tchaikovsky,,H,,,X,,,X,,,,,,,,H,,,,,,,,,
Children's Crusade,Scott Andrews,,,,,,,,,,,,,,,,,,,,,H,,,,
Chilling Effect,Valerie Valdes,,,,,H,,,,,H,,,,,,,,,,,,,,,
China Mountain Zhang,Maureen F Mchugh,H,,,,,,,,,,,,,,,,,,,,,,,,
Chocolatiers of the High Winds: A Gay Steampunk Romance,H.B. Kurtzwilde,,,,,,,,,,,,,,,,,,,,,H,,,,
Chorale,Barry N. Malzberg,,,,,,,,,,,,,,,,,X,,,,,,,,
Christa Minns,Karen Marie,,,,,,,,,,,,,,,,,,,,,H,,,,
Chronicles of Amber,Roger Zelazny,,H,,,,,,,H,,,,,,,,,,,,,,,,
Chronicles of Chaos,John C. Wright,,,,,,,,,,,,,,,,,,,,,H,,,,
Cinnamon Bun,Ravens Dagger,,,,,,,,,,,,,,,,,,,,X,,,,,
Circe,Madeline Miller,,,,H,,X,,X,,,X,,,,,,,,,,H,,,X,
City of a Thousand Feelings,Anya Johnson DeNiro,,,,,,,,,,,,,,,,,,,,,H,,,,
City of Ash and Red,Hye-Young Pyun,,,,,,,,,,,,,,,,,,,,,,X,,,
City of Bones,Martha Wells,,,,,,X,,,,,,,,,,,,,,,,,,,
City of Circles,Jess Richards,,,,,,,,,,,,,,,,,,,,,H,,,,
City of Lies,Sam Hawke,,,,,,,,,,X,,,,,,,,,,,,,,,X
City of Saints and Madmen,Jeff VanderMeer,,X,,,,,,X,,,,,,,,,,,,,,,,,
City of Stairs,Robert Jackson Bennett,,,,,,,,X,,,,,,,,,,,,,,,,,
Claimings,Lyn Gala,H,,,,,,,,,,,,,,,,,,,,,,,X,
Clariel,Garth Nix,,,,,,,X,,,,X,,,,,,,,,,,,,,
Clicking Stones,Nancy Tyler Glenn,,,,,,,,,,,,,,,,,,,,,H,,,,
Closer to Home,Mercedes Lackey,,,,,,,,,,,,,,,,,,,,,,,,H,
Cloud & Ashes: Three Winter's Tales,Greer Gilman,,,,,,,,,,,,,,,,,,,,X,H,,,,
Cloud Atlas,David Mitchell,,,,,,X,,,,,,,,,,,,,,,,,,,
Cloud Cuckoo Land,Anthony Doerr,,,,,,H,,,,,,,,,,,,,,,,,,H,
Coelestis,Paul Park,,,,,,,,,,,,,,,,,,,,,H,,,,
"Coffee, Milk & Spider Silk",Coyote JM Edwards,,,,,,,,,,,,,,,,,,,,H,,,,,
Coffin County,Gary A. Braunbeck,,,,,,,,,,,,,,,,,,,,,H,,,,
Coldfire Trilogy,C.S. Friedman,,,,,,,,,X,,,,,,,,,,,,,,,,
Collaborator,Krista D Ball,H,,,,,,,,,,,,,,,,,,H,,,,,,
Collaborator,Krista D. Ball,H,,,,,,,,,,,,,,,,,,H,,,,,,
Collaborators,Deborah Wheeler,,,,,,,,,,,,,,,,,,,,,H,,,,
Confederation,Tanya Huff,H,,,,,,,,,,,,,,,,,,,,,,,,
Confessions of a Gentleman Arachnid,Michael Coolwood,,,,,,,,,,,,,,,,,,,,X,,,,,
Conjunctions 39: The New Wave Fabulists,Peter Straub,,,,,,,,,,,,,,,,,,,,,H,,,,
Conjure Women,Afia Atakora,,,,H,,,,,,,,,,,,,,,,,,X,,,
Consider Phlebas,Iain M. Banks,,,,,,,,,,,,,,,,,,,,,,,,X,
Consorting with Dragons,Sera Trevor,H,,,,,,,,,,,,,,,,,,,,,,,,
Conspiracy of Ravens,Lila Bown,,,,,,,,,,,,,,,,,,,,,,,H,,
Construct,Luke Matthews,,,,,,,,X,,,,,,,,,,,,,,,,X,
Coraline,Neil Gaiman,,,,,,H,,,,,X,,,,,,,,,,,,,,
Corin Hayes,G.R. Matthews,,,,,,,,,,,,,,,,,,,,H,,,,,
Correspondence,Sue Thomas,,,,,,,,,,,,,,,,,,,,,H,,,,
Cosmic Forces,Gregory Lamberson,,,,,,,,,,,,,,,,,,,,,H,,,,
Count Taka and the Vampire Brides,C Chancy,H,,,,,,,,,,,,,,,,,,,,,,,,
Course of Honour,Avoliot,H,,,,,,,,,,,,,,,,,,,,,,,,
Coyote Cowgirl,Kim Antieau,,,,,,,,,,,,,,,,,,,,,H,,,,
Cradle,Will Wight,,,,,,,,,H,,,,,,,,,,,X,,,,,
Cradle of Sea and Soil,Bernie Anés Paz,,,,,,,,,,,,,,,,,,,,H,,X,,,X
Craft Sequence,Max Gladstone,,,,,,,,,,,,,,X,,,,,,,,,,,
Crandolin,Anna Tambour,,,,,,,,,,,,,,,,,,,,,H,,,,
Crier's War,Nina Varela,H,,,,,,,,,,,,,,,,,,,,,,,,
Crimes Against Magic,Steve McHugh,,,,,,,X,,,,,,,,,,,,,,,,X,H,
Crosstalk,Connie Willis,,,,,,,,X,,,,,,,,,,,,,,,,,
Crota,Owl Goingback,,,,,,,,,,,,,,,,,,,,,H,,,,
Crown of Feathers,Nicki Pau Perto,,,,,,,,,,,,,,,,,,,,,,,,,X
Cry Gender,Thomas T. Thomas,,,,,,,,,,,,,,,,,,,,,H,,,,
Crystal Singer,Anne McCaffrey,,H,,,,,,,,,,,,,,,,,,,,,,,
Cugel's Saga,Jack Vance,,,,,,,X,,,,,,,,,,,,,,,,,,
Currently,Sarah Mensinga,,,,,,,,,,,,,,,,,,,,X,,,,,
Curse Of The Daemon Beast,Francis James Blair,,,,,,,,,,,,,,,,,,,,H,,,,,
Curse Workers,Holly Black,,,,,,,H,,,,,,,,,,,,,,,,,,
Cursed,Jeremy Shipp,,,,,,,,,,,,,,,,,,,,,H,,,,
Daevabad,S.A. Chakraborty,,H,,,,,,,,,,,,,,,,,,,,,,,
Daggerspell,Katharine Kerr,,,,,,,,X,,,,,,,,,,,,,,,,,
Dance of the Goblins,Jaq D. Hawkins,,,,,,,,,,,,,,,,,,,,,,,X,,
Dancer from Atlantis,Poul Anderson,,,,,,,,,,,,,,,,,,,,,H,,,,
Dancing Jack,Laurie J. Marks,,,,,,,,,,,,,,,,,,,,,H,,,,
Dandelion Dynasty,Ken Liu,,,,,,,,,,,,,,,,,,,,,,,,,X
Dangerous Space,Kelley Eskridge,,,,,,,,,,,,,,,,,,,,,H,,,,
Danielle Cain,Margaret Killjoy,H,,,,,,,,,,,,,,,,,,,,,,,,
Dante Valentine,Lilith Saint Crow,,,,,,,,,,,H,,,,,,,,,,,,,,
Dark Angels,Pam Keesey,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Apprentice,Val Neil,,,,,,,,,,,,,,,,,,,H,,,,,,
Dark Cities Underground,Lisa Goldstein,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Constellations,Pola Oloixarac,,,,,,,,,,,,,,,,,,,,,,X,,,
Dark Crusade,Karl Edward Wagner,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Eden,Chris Beckett,,H,,,,,,,,,,,,,,,,,,,,,,,
Dark Fairy Tales of Fearless Women,Rosalind Kerven,,,,,,,,,,,,,,,,,,H,,,,,,,
Dark Light,Ken MacLeod,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Matter,Blake Crouch,,,,,,H,,,,,,,,,,,H,,,,,,,,X
Dark of the Moon,P. C. Hodgell,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Rise,C.S. Pacat,,,,,,,H,,,,,,,,,,,,,,,,,X,
Dark River,Rym Kechacha,,,,,,,,,,,,,,,,,,,,,H,,,,
Dark Waters,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Dark-Hunter,Sherrilyn Kenyon,,,,,,,,,,,,,,X,,,,,,,,,,,
Darker Angels,S. P. Somtow,,,,,,,,,,,,,,,,,,,,,H,,,,
Darker than Night,Owl Goingback,,,,,,,,,,,,,,,,,,,,,H,,,,
Daros,Dave Dobson,,,,,,,,,,,,,,,,,,,,H,,,,,
Darwinia,Robert Charles Wilson,,H,,,,,,,,,,,,,,,,,,,,,,,
Daughter from the Dark,Marina & Sergey Dyachenko,,,X,,,,,,,,,,,,,,,,,,,,,,
Daughter of Mystery,Heather Rose Jones,,,,,,,,X,,,,,,,,,,,,,,,,,
Daughter of the Empire,Raymond Feist and Janny Wurts,,,X,,,,,,,,,,,,,,,,,,,,,,
Daughter of the Forest,Juliet Marillier,,,,X,,,,,,,,,,,,,,,,,,,,,
Daughter of the Moon Goddess,Sue Lynn Tan,,,,,,,,,,X,,,H,,,,,,,,,,,,
Daughters of an Amber Noon,Katherine V. Forrest,,,,,,,,,,,,,,,,,,,,,H,,,,
"David Mogo, Godhunter",Suyi Davies Okungbowa,,,,,,H,,,,,H,,,,H,,,,,,,,,,
Dawn,Octavia E. Butler,,H,,,X,,,X,,,,,,,,,,,,,,,,,
Dead Astronauts,Jeff VanderMeer,,,,,,,,,,,,,,,,,,,,,,,H,,
Dead Djinn Universe,P. Djèlí Clark,,,,H,,,,,,,,H,,,H,,,,,,,,X,,
Dead Love,Linda Watanabe McFerrin,,,,,,,,,,,,,,,,,,,,,H,,,,
Deadrush,Yvonne Navarro,,,,,,,,,,,,,,,,,,,,,H,,,,
Dealing with Dragons,Patricia C. Wrede,,,,,,,,,,,,,,,,,,,,,,,,H,
Death and Resurrection,R. A. MacAvoy,,,,,,,,,,,,,,,,,,,,,H,,,,
Death by Miracle,Fowler Brown,,,,,,,,,,,,,,X,,,,,,,,,,,
Death by Silver,Melissa Scott,,,X,,,,,,,,,,,,,,,,,,,,,,
Death of the Necromancer,Martha Wells,,,,,,,X,,,,,,,,,,,,,,,,,,
Death Takes the Stage,Donald Ward,,,,,,,,,,,,,,,,,,,,,H,,,,
Death: The Time of Your Life,Neil Gaiman,H,,,,,,,,,,,,,,,,,,,,,,,,
Deathgrip,Brian Hodge,,,,,,,,,,,,,,,,,,,,,H,,,X,
Deathless,Catherynne M. Valente,,,,H,,,X,,,,,,,,,,,,,,,,,,
Deep in the Darkness,Michael Laimo,,,,,,,,,,,,,,,,,,,,,H,,,,
Deep Roots,Ruthanna Emrys,,,,,,,,,,,,,,,,,,,,,H,,,,
Deerskin,Robin McKinley,,,,,,X,,,,,,,,,,,,,H,,H,,,,
Defying Doomsday,Tsana Dolichva and Holly Kench,,,H,,,,,,,,,,,,,,,H,,,,,,,
Delusion's Master,Tanith Lee,,,,,,,,,,,,,,,,,,,,,H,,,,
Demon Haunted,Ashe Armstrong,,,,,,,,X,,,,,,,,,,,,,,,,,
Demons Run,Amy Wood,,,,,,,,,,,,,,,,,,,,H,,,,,
Deprivation or Benedetto furioso: An Oneiromancy,Alex Jeffers,,,,,,,,,,,,,,,,,,,,,H,,,,
Deryni Checkmate,Katherine Kurtz,,,,,,,,,,,,,,,,,,,,,H,,,,
Deryni Rising,Katherine Kurtz,,,,,,,,,,,,,,,,,,,,,H,,,,
Desdemona and the Deep,CSE Cooney,H,,,,,,,,,,,,,,,,,,,,,,,,
Desmond,Ulysses G. Dietz,,,,,,,,,,,,,,,,,,,,,H,,,,
Destroyer of Light,Jennifer Marie Brissett,,,,,,,,,,,,,,,,,H,,,,,,,,
Devil's Creek,Todd Keisling,,,,,,,,,,,,,,,,,,,,,H,,,,
Devil's Tower,Mark Sumner,,,,,,,,,,,,,,,,,,,,,H,,,,
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,,,,,,H,,,,,,,,,,,,,,,,,,,
Dhalgren,Samuel R Delany,H,,,,,,,,,,,,,,,,,,,,,,,,
Diana Tregarde,Mercedes Lackey,,,,,,,,,,,,,,X,,,,,,,,,,,
Digitesque,Guerric Haché,,,,,,,X,,,,,,,,,,,,,H,,,,,
Dim Stars: A Novel of Outer-Space Shenanigans,Brian P. Rubin,,,,,X,,,,,,,X,,,,,,,,H,,,,,
Dirk Gently's Holistic Detective Agency,Douglas Adams,,,,,,,,,,,,,,,,,X,,,,,,,H,
Dirt King,Travis M. Riddle,,,,,,,,,,,,,,,,,,,,H,,,,X,
Dispatches from Anarres: Tales in Tribute to Ursula K. Le Guin,"Susan DeFreitas, ed.",,,H,,,,,,,,,,,,,,,,,X,,,,,
Distances,Vandana Singh,,,,,,,,,,,,,,,,,,,,,H,,,,
Disturbed by Her Song,Tanith Lee,,,,,,,,,,,,,,,,,,,,,H,,,,
Diving into the Wreck,Kathryn Rusch,,,,,,,,,,,,,,,,,H,,,,,,,,
Do Androids Dream of Electric Sheep? and Ubik,Philip K. Dick,,,,,,H,,,,,,,,,,,,,,,,,,,
Do You Dream of Terra-Two?,Temi Oh,,,,,,H,,,,,,,,,,,,,,,,,,,
Doc and Fluff,Patrick Califia,,,,,,,,,,,,,,,,,,,,,H,,,,
Dogs of War,Adrian Tchaikovsky,,,,,,,,,,,,,,,,H,,,,,,,,,
Don't Fear the Reaper,Michelle Muto,,,,,,,,,,,,,,,,,,,H,,,,,,X
Donovan Series,W. Michael Gear,,H,,,,,,,,,,,,,,,,,,,,,,,
Doomsday Book,Connie Willis,,,,H,,X,,,,,,,,,,,X,,,,,,,,
Down,Ally Blue,,,,,,,,,,,,,,,,,,,,,H,,,,
Down and Out in the Magic Kingdom,Cory Doctorow.,,,,,,H,,,,,,,,,,,,,,,,,,,
Downbelow Station,C.J. Cherryh,,,,,X,,,,,,,,,,,,,,,,,,,X,
Dr. Greta Helsing,Vivian Shaw,H,,,,,,,,,,,,,,,,,,,,,,,,
Dracula,Bram Stoker,,,,,,X,,,,,,,,,,,,,,,,,,,
Dragera,Steven Brust,,H,,,,,,,,,,,,,,,,,,,,,,,
Dragon Jousters,Mercedes Lackey,,,,,,,,,,,,,,,X,,,,,,,,,,
Dragon of Ash and Stars,H. Leighton Dickson,,,,,,,,,,,,,,,,H,,,,,,,,,
Dragon Pearl,Yoon Ha Lee,,,,,,,,,,,,,,,,,,,,,,,H,,
Dragon Slayer,Isabella Carter,,,,,,,,,,,,,,,,,,,,,H,,,,
Dragon Springs Road,Janie Chang,,,,H,,,,,,,,,,,,,,,,,,,,,
Dragon Wing,Margaret Weis and Tracy Hickman,,,X,,,,,,,,,,,,,,,,,,,,,,
Dragon's Egg,Robert L. Forward,,,,,,,,,,,,,,,,,H,,,,,,,,
Dragon's Price,Daniel Potter,,,,,,,,X,,,,,,,,,,,,,,,,,
Dragon's Reach,J.A. Andrews,,,,,,,,X,,,,,,,,,,,,,,,,,
Dragon’s Winter,Elizabeth A. Lynn,,,,,,,,,,,,,,,,,,,,,H,,,,
Dragonflight,Anne McCaffrey,,,,,,,,X,,,,,,,,,,,,,,,,,
Dragonlance,Margaret Weis and Tracy Hickman,,,X,,,,,,,,,,,,,,,,,,,,,,
Dragonn Mage,M.L. Spencer,,,,,,,,,,,,,,,,,,,H,,,,,,
Dragonriders of Pern,Anne McCaffrey,,H,,,,,,,,,,,,,,,,,,,,,,,
Dragonsbane,Barbara Hambly,,,,,,,,,,,,,,,,,,,,,H,,H,,
Drawing Blood,Poppy Z. Brite,,,,,,,,,,,,,,,,,,,,,H,,,,
Dread Nation,Justina Ireland,,,,,,,,X,,,,,,,,,,,,,,,,,
Dreadnought,April Daniels,,,,,,,,,,,,,,H,,,,,,,H,,,,
Dreamer's Pool,Juliet Marillier,,,,,,,,,,,,,,,,,,,H,,,,,,
Dreams of Distant Shores,Patricia McKillip,,,,,,,,,,,,,,,,,,H,,,,,,,
Dreams of Shreds and Tatters,Amanda Downum,,,,,,H,,,,,,,,,,,,,,,,,,,
Dreams of the Dying,Nicolas Lietzau,,,,,,,,,,,,,,,,,,,H,,,,,,
Dreams Underfoot,Charles de Lint,,,,,,,,,,,,,,,,,,H,,,,,,,
Dreamships,Melissa Scott,,,,,,,,,,,,,,,,,,,,,H,,,,
Dreamsnake,Vonda Mcintyre,,,,,,H,,,,,,,,,,,,,,,,,,,
Drenai,David Gemmell,,,,,,,,,H,,,,,,,,,,,,,,,,
Dresden Files,Jim Butcher,,,,,,,,,,,,,,X,,,,,,,,,,,
Driftwood,Marie Brennan,,,,,,H,,,,,,,,,,,,,,,,,,,
Drowned Country,Emily Tesh,,,,,,,,X,,,,,,,,,,,,,,,,,
Dry Water,Eric Nylund,,,,,,,,,,,,,,,,,,,,,H,,,,
Dryland End,Felice Picano,,,,,,,,,,,,,,,,,,,,,H,,,,
Dune,Frank Herbert,,H,,,,,,X,,,,,,,,,,,,,,,,,X
Dungeon Born,Dakota Krout,,,,,,,,,,,,,,,,H,,,,,,,,,
Dusk or Dark or Dawn or Day,Seanan McGuire,,,,,,H,,,,,,,,,,,,,,,,,,,
Dust Devil on a Quiet Street,Richard Bowes,,,,,,,,,,,,,,,,,,,,,H,,,,
Dweller,Bracken MacLeod,,,,,,,,,,,,,,,,,,,,,H,,,,
Each of Us a Desert,Mark Oshiro,,,,,,H,,,,,,,,,,,,,,,,,,,
Earthquake Weather,Tim Powers,,,,,,,,,,,,,,,,,,,,,H,,,,
Echo,Pam Munoz Ryan,,,,,,H,,,,,,,,,,,,,,,,,,,
Echoes of the Ancients,Isabel Pelech,H,,,,H,,,,,,,,,,,,,,,,,,,,
Edict of Honor,Bernie Anés Paz (2nd book in a series),,,,,,,,,,,,,,,,,,,,H,,,,,
Elantra,Michelle Sagara,,,,,,,,,,,,,,,,,,,,,,,H,,
Elantris,Brandon Sanderson,,,,,,X,,,,,,,,,,,,,,,,,,X,
Elatsoe,Darcie Little Badger,,,,,,,,,,,X,,,,,,,,,,,H,,,H
Elder Race,Adrian Tchaikovsky,,,,,,H,,,,,,,,,,,,,H,,,,,X,
Electric Heir,Victoria Lee,,,,,,,,,,X,,,,,,,,,,,,,,,
Elemental Logic,Laurie J Marks,H,,,,,,,,,,,,,,,,,,,,,,,,
Elementals,A. S. Byatt,,,,,,,,,,,,,,,,,,,,,H,,,,
Elf Child,David M. Pierce,,,,,,,,,,,,,,,,,,,,,H,,,,
Ella Enchanted,Gail Carson Levine,,,,,,,,,,,X,,,,,,,,,,,,,,
Elric,Michael Moorcock,,,,,,,,,X,,,,,,,,,,,,,,,,
Elric of Melnibone,Michael Moorcock,,,,,,,,X,,H,X,,,,,,,,,,,,,,
Elysium,Jennifer Marie Brissett,,,,,,,,,,,,,,,,,,,,,H,,,,
Embassytown,China Mieville,,,,,,H,,,,,,,,,,,,,,,,,,,
Ember Blade,Chris Wooding,,,,,,,,,H,,,,,,,,,,,,,,,,
Embracing the Dark,Eric Garber,,,,,,,,,,,,,,,,,,,,,H,,,,
Empire of Gold,S.A. Chakraborty,,,,,,,,,,,,,,,X,,,,,,,,,,
Empire of Sand,Tasha Suri,,,,,,,,X,,,,,,,,,,,,,H,,,,
Empire of Wild,Cherie Dimaline,,,,,,,,,,,,,,,,,,,,,,H,,,
Empire Under A Dying Sun,Joseph O. Doran,,,,,,,,,,,,,X,,,,,,,,,,,,
Empires of Dust,Anna Smith Spark,H,,,,,,,,,,,,,,,,,,,,,,,,
Empirium,Claire Legrand,,,,,,,,,,,,,,,,,X,,,,,,,,
Empress,Karen Miller,,,,,,,,,,,,,,,,,,,,,H,,,,
Empress of Forever,Max Gladstone,H,,,,,H,,,,X,,,,,,,,,,,,,,,
Empty Monsters,Cat Hellisen,H,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted Forest Chronicles,Patricia C Wrede,,,,,,,,,,,,,,,,,,,,,,,,H,
Enchantments of Flesh and Spirit,Storm Constantine,,,,,,,,,,,,,,,,,,,,,H,,,,
Ender's Game,Orson Scott Card,,,,,X,,,,,,X,,,,,,,,,,,,,,
Ender's Shadow,Orson Scott Card,,,,,,,,,,,X,,,,,,,,,,,,,,
Enduring Flame,Mercedes Lackey and James Mallory,,,X,,,,,,,,,,,,,,,,,,,,,,
Endymion,Dan Simmons,,,,,,,,,,,X,,,,,,,,,,,,,,
Equatorial Assignment,David G Maillu,,,,,,,,,,,,,,,H,,,,,,,,,,
Eragon,Christopher Paolini,,,,,,,,,,,X,,,,,,,,,,,,,,
Escaping Exodus,Nicky Drayden,H,,,,H,,,,,,,,,,,,,,,,,,,,
Ethan of Athos,Lois McMaster Bujold,H,,,,,,,,,,,,,,,,,,,,,,,,
Ethridge,Benjamin Kane,,,,,,,,,,,,,,,,,,,,,H,,,,
Europe at Midnight,Dave Hutchinson,,,,,,,,,,,,,,,,,,,,,H,,,,
Excalibur,Sanders Anne Laubenthal,,,,,,,,,,,,,,,,,,,,,H,,,,
Excession,Iain M. Banks,,,,,H,,,,,,,,,,,X,,,,,,,,X,
Exhalation,Ted Chian,,,,,,,,,,,,,,,,,,H,,,,,,,
Exit West,Mohsin Hamad,,,,,,,,,,,,,,,,,,,,,,X,,,
Exquisite Corpse,Poppy Z. Brite,,,,,,,,,,,,,,,,,,,,,H,,,,
Eyes Like Leaves,Charles de Lint,,,,,,,,,,,,,,,,,,,,,,,H,H,
Eyes of the Overworld,Jack Vance,,,,,,,X,,,,,,,,,,,,,,,,,,
Fable,Adrienne Young,,,,,,,,,,,X,,,,,,,,,,,,,,
Fade,Robert Cormier,,,,,,,,,,,,,,,,,,,,,H,,,,
Fae,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Faerie Tale,Raymond E. Feist,,,,,,X,,,,,,,,,,,,,,,,,,,
Fahrenheit 451,Ray Bradbury,,,,,,X,,,,,,,,,,,,,,,,,,,
Fair Peril,Nancy Springer,,,,,,,,,,,,,,,,,,,,,H,,,,
Fall of Dragons,Miles Cameron,,,,,,,,,,,,,,,,,,,,,H,,,,
Fallen Empire,Grace Draven,,,,,,,,,,X,,,,,,,,,,,,,,,
Falling Free,Lois McMaster Bujold,,,,,H,,,,,,,,,,,,,,,,,,,,
Falling to Earth,Elizabeth Brownrigg,,,,,,,,,,,,,,,,,,,,,H,,,,
Fangland,John Marks,,,,,,,,,,,,,,,,,,,,,H,,,,
Far From the Light of Heaven,Tade Thompson,,,,,X,,,,,,,,,,,,,,,,,,,,
Far Out: Queer Science Fiction and Fantasy,"Paula Guran, ed.",,,,,,,,,,,,,,,,,,H,,,,,,,
Fauna,CHristiane Vadnais,,,,,,H,,,,,,,,,,,,,,,,,,,
Fear Nothing,Dean Koontz,,,,,,,,,,,,,,,,,,,,,H,,,,
Feed,Mira Grant,,,,,,,,,,,,,,,,,,,,,,,,,X
Feeder,Patrick Weekes,H,,,,,,,,,,,,,,,,,,,,,,,,
Feersum Endjinn,Iain M. Banks,,,,,,,,,,,,,,,,,,,,,,,,X,
Felaheen,Jon Courtenay Grimwood,,,,,,,,,,,,,,,,,,,,,H,,,,
Felix Castor,Mike Carey,,,,,,,,,,,,,,X,,,,,,,,,,,
Fever,Deon Meyer,,,,,,,,,,,,,,X,,,,,,,H,,,,
Fever,Karen Marie Morning,,,,,,,,,,,,,,X,,,,,,,H,,,,
Fever King,Victoria Lee,,,,,,,,,,X,,,,,,,,,,,,,,,
Fevre Dream,George R.R. Martin,,,,H,,X,,,,,,,,,,,,,,,H,,,,
Fid's Crusade,David H. Reiss,,,,,,,,X,,,X,,,,,,,,,,,,,,
Fire,Robin McKinley and Peter Dickinson,,,,,,,,,,,,,,,,,,H,,,,,,,
Fire & Blood,George R.R. Martin,,,,,,,,,,,,,,,,,,,,,,,,,H
Fire and Hemlock,Diana Wynne Jones,,,,,,,,,,,,,,,,,,,,,H,,,,
Fire Bringer,David Clement-Davies,,,,,,,,,,,,,,,,H,,,,,,,,,
Firebrand,Ankaret Wells,,,,,,,,,,,,,,,,,,,,,H,,,,
Firelands,Michael Jensen,,,,,,,,,,,,,,,,,,,,,H,,,,
Firelord,Parke Godwin,,,,,,,,,,,,,,,,,,,,,H,,,,
First Frost,Sarah Addison Allen,,,,,,,,,,,,,,,,,,,,,,,,,X
First Sister,Linden A. Lewis,,,,,H,,,,,,,,,,,,,,,,,,,,
Fist of the Spider Woman,Amber Dawn,,,,,,,,,,,,,,,,,,,,,H,,,,
Fitcher's Brides,Gregory Frost,,,,,,,,,,,,,,,,,,,,,H,,,,
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,,,,,,,,,,,,,,,,H,,,,,,,,,
Fledgling,Octavia E. Butler,,,,,,,,,,,,,,,,,,,,,H,,,,
Flesh,Richard Laymon,,,,,,,,,,,,,,,,,,,,,H,,,,
Flesh and Gold,Phyllis Gotlieb,,,,,,,,,,,,,,,,,,,,,H,,,,
Flesh Eater,Travis M. Riddle,,,,,,,,,,,,X,,,,X,,,,H,,,,X,
Flight of the Darkstar Dragon,Benedict Patrick,,H,,,,,,,,,,,,,,,,,,,,,,,
Floating Staircase,Ronald Malfi,,,,,,,,,,,,,,,,,,,,,H,,,,
Flora Segunda,Ysabeau S. Wilce,,,,,,,,,,,,,,,,,,,,,H,,,,
Flowers for Algernon,Daniel Keyes,,,,,,H,,,,,X,,,,,,,,,,,,,H,
Flowers for the Sea,Rocklyn,,H,,,,,,,,,,,,,,,,,,,,,,,
Flowers of Edo,Nene Adams,,,,,,,,,,,,,,,,,,,,,H,,,,
Fly By Night,Frances Hardinge,,,,,,,,,,,,,,,,,,,,,,,,H,
Fog Heart,Thomas Tessier,,,,,,,,,,,,,,,,,,,,,H,,,,
Fool on the Hill,Matt Ruff,,,,,,,,,,,,,,,,,,,,,H,,,,
For a Muse of Fire,Heidi Helig,,,,,,,,,,,,,,,,,,,X,,,,,,
For the Wolf,Hannah Whitten,,H,,,,,,,,,,,,,,,,,,,,,,,
Force of Chaos,Lin Senchaid,,,,,,,,,,,,,,X,,,,,,,,,,,
Forest of a Thousand Daemons,D.O. Fagunwa,,,,,,,,,,,,,,,H,,,,,,,,,,
Forestborn,Elayne Audrey Becker,,,,,,,,,,,,,,,,,,,,,,,H,,
Forever Fantasy Online,Rachel Aaron and Travis Bach,,,X,,,,,,,,,,,,,,,,,,,,,,
Fortune's Fool,Angela Boord,,,,,,,,X,,,,,,,,,,,,,,,,,
Foundryside,Robert Jackson Bennett,,,,,,,,X,,,,,,,,,,,,,H,,,,
Four Roads Cross,Max Gladstone,,,,,,,,,,,,,,,,,,,,,,,,H,
Fourth Under Sol,Guerric Haché,,,,,,,,,,,,,,,,,,,,H,,,,H,
Fragile Things,Neil Gaiman,,,,,,,,,,,,,,,,,,H,,,,,,,
Frankenstein,Mary Shelley,,,,,,X,,X,,,X,,,,,,,,,,,,,,
Frankenstein in Baghdad,Ahmed Saadawi,,,,,,H,,,,,,,,,,,,,,,,,,,
Fred the Vampire Accountant,Drew Hayes,,,,,,,,,,,X,,,X,,,,,,,,,H,,
Freedom and Necessity,Emma Bull and Steven Brust,,,X,,,,,,,,,,,,,,,,,,,,,,
From a Buick 8,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
From Legend,Ian Lewis,,,,H,,,,X,,,,,,,,,,,,H,,,,,
From the Dust Returned,Ray Bradbury,,,,,,,,,,,,,,,,,,,,,H,,,,
From the Teeth of Angels,Jonathan Carroll,,,,,,,,,,,,,,,,,,,,,H,,,,
From the Wreck,Jane Rawson,,,,,,,,,,,,,,,,,,,,,H,,,,
From Unseen Fire,Cass Morris,,,,H,,,,,,,,,,,,,,,,,,,,,
Fudoki,Kij Johnson,,,,,,,,,,,,,,,,,,,,,H,,,,
Full Fathom Five,Max Gladstone,,,,,,,,,,,,,,,,,,,,,H,,,H,
Full Throttle,Joe Hill,,,,,,,,,,,,,,,,,,H,,,,,,,
Funland,Richard Laymon,,,,,,,,,,,,,,,,,,,,,H,,,,
